City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
274,Qaqortoq,GL,60.7167,-46.0333,26.17,77,100,7.54,light snow
275,Shambu,ET,9.5667,37.1,52.25,56,33,1.34,scattered clouds
276,Belomorsk,RU,64.5232,34.7668,32.99,97,100,7.96,overcast clouds
277,Georgetown,MY,5.4112,100.3354,78.73,81,20,3.44,few clouds
278,Shaoyang,CN,27.2315,111.4525,44.8,38,98,2.04,overcast clouds
279,Porto Novo,BJ,6.4965,2.6036,82.22,82,26,6.71,scattered clouds
280,Predivinsk,RU,57.0669,93.4378,-11.18,98,100,3.13,overcast clouds
281,Auki,SB,-8.7676,160.7034,82.87,78,100,8.72,moderate rain
282,Hearst,CA,49.6835,-83.6665,12.45,100,100,2.77,overcast clouds
283,Katobu,ID,-4.9408,122.5276,79.5,84,99,2.86,overcast clouds
284,Nuevitas,CU,21.5453,-77.2644,73.17,66,0,10.0,clear sky
285,Faranah,GN,10.0404,-10.7434,73.24,17,1,3.98,clear sky
286,Quatre Cocos,MU,-20.2078,57.7625,78.1,88,100,15.99,moderate rain
287,Tautira,PF,-17.7333,-149.15,80.83,73,37,15.43,scattered clouds
288,Kokopo,PG,-4.352,152.2633,84.22,66,77,9.84,broken clouds
289,Marrakesh,MA,31.6315,-8.0083,51.87,82,40,10.36,scattered clouds
290,Dudinka,RU,69.4058,86.1778,-24.97,88,100,3.98,overcast clouds
291,Durban,ZA,-29.8579,31.0292,79.92,94,61,5.99,broken clouds
292,Marsa Matruh,EG,31.3525,27.2453,52.0,87,0,6.91,clear sky
293,Xuddur,SO,4.1213,43.8894,68.23,75,97,15.79,overcast clouds
294,Airai,TL,-8.9266,125.4092,66.34,81,100,2.73,overcast clouds
295,Soyo,AO,-6.1349,12.3689,79.0,87,100,5.97,light rain
296,Tihemetsa,EE,58.1462,25.0459,31.28,99,100,8.3,snow
297,Hambantota,LK,6.1241,81.1185,73.92,66,80,14.92,broken clouds
298,Nuuk,GL,64.1835,-51.7216,18.21,79,100,10.36,light snow
299,Channel-Port Aux Basques,CA,47.5702,-59.1367,36.32,90,97,5.44,overcast clouds
300,Gamba,GA,-2.65,10.0,77.36,84,100,3.36,light rain
301,Sidi Ali,DZ,36.0998,0.4206,49.53,47,22,22.35,few clouds
302,Kutum,SD,14.2,24.6667,59.43,23,99,4.43,overcast clouds
303,Kinablangan,PH,7.6947,126.5503,80.85,78,83,4.79,broken clouds
304,Mahanje,TZ,-9.9333,35.3333,64.11,96,100,0.83,light rain
305,Saint-Paul,RE,-21.0096,55.2707,79.36,84,100,1.1,light rain
306,Katsuura,JP,35.1333,140.3,46.22,73,100,15.84,overcast clouds
307,Mackay,AU,-21.15,149.2,83.68,77,47,19.57,scattered clouds
308,Khorixas,NA,-20.3667,14.9667,72.77,65,98,11.45,overcast clouds
309,Antrim,GB,54.6667,-6.25,33.37,93,40,10.36,scattered clouds
310,Bengkulu,ID,-3.8004,102.2655,74.79,89,87,3.91,overcast clouds
311,Pimentel,PE,-6.8367,-79.9342,73.69,68,40,24.16,scattered clouds
312,Ahipara,NZ,-35.1667,173.1667,72.25,62,3,8.21,clear sky
313,Alice Springs,AU,-23.7,133.8833,81.95,44,10,12.66,clear sky
314,Alta Floresta,BR,-9.8756,-56.0861,70.3,97,100,3.96,overcast clouds
315,Cockburn Town,TC,21.4612,-71.1419,76.14,60,29,17.34,scattered clouds
316,Hervey Bay,AU,-25.2986,152.8535,81.01,67,1,8.01,clear sky
317,Neiafu,TO,-18.65,-173.9833,84.88,84,40,10.36,scattered clouds
318,Santa Isabel,BR,-23.3156,-46.2214,72.7,96,83,2.64,broken clouds
319,Bartica,GY,6.4,-58.6167,75.52,98,13,3.09,few clouds
320,Zheleznodorozhnyy,RU,55.7503,38.0042,34.32,91,99,17.74,overcast clouds
321,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,88,0,11.34,clear sky
322,Kochi,IN,9.9399,76.2602,69.78,69,99,5.44,overcast clouds
323,Canutama,BR,-6.5339,-64.3831,71.4,99,100,1.14,overcast clouds
324,Saskylakh,RU,71.9167,114.0833,-36.69,100,54,1.7,broken clouds
325,Lafia,NG,8.4833,8.5167,78.55,21,72,4.18,broken clouds
326,Morondava,MG,-20.2833,44.2833,79.34,58,66,15.03,broken clouds
327,Esperance,AU,-33.8667,121.9,64.72,56,100,14.29,overcast clouds
328,Babstovo,RU,48.1167,132.4833,-1.89,97,100,7.72,light snow
329,Mabaruma,GY,8.2,-59.7833,69.85,88,64,3.11,broken clouds
330,Lehututu,BW,-23.9667,21.8667,73.92,51,42,5.35,scattered clouds
331,Camapua,BR,-19.5314,-54.0439,76.3,73,51,1.07,broken clouds
332,Morehead,US,37.2711,-87.1764,63.0,94,40,8.05,scattered clouds
333,Maraa,BR,-1.8333,-65.3667,72.37,96,93,2.53,overcast clouds
334,Togur,RU,58.3631,82.8265,-1.03,97,100,4.12,overcast clouds
335,Beyneu,KZ,45.3167,55.2,25.02,62,4,9.44,clear sky
336,Gigmoto,PH,13.7796,124.39,75.94,94,100,13.56,overcast clouds
337,Buchanan,LR,5.8808,-10.0467,78.69,88,97,5.37,overcast clouds
338,Barra Patuca,HN,15.8,-84.2833,77.41,83,7,14.52,light rain
339,Salaverry,PE,-8.2333,-78.9667,68.38,81,98,8.95,overcast clouds
340,Samfya,ZM,-11.3649,29.5565,63.03,95,93,2.55,light rain
341,Inta,RU,66.0317,60.1659,6.91,96,85,7.23,overcast clouds
342,Saint-Gabriel,CA,46.3001,-73.3824,37.08,77,92,9.69,overcast clouds
343,Kyra,RU,49.5776,111.9753,-19.88,78,18,10.98,few clouds
344,Biak,ID,-0.9131,122.8766,78.71,76,100,2.51,overcast clouds
