City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
270,Dzaoudzi,YT,82.29,clear sky,-12.7887,45.2699,No hotel found
271,Atambua,ID,77.9,overcast clouds,-9.1061,124.8925,No hotel found
277,Georgetown,MY,78.73,few clouds,5.4112,100.3354,No hotel found
279,Porto Novo,BJ,82.22,scattered clouds,6.4965,2.6036,No hotel found
281,Auki,SB,82.87,moderate rain,-8.7676,160.7034,No hotel found
283,Katobu,ID,79.5,overcast clouds,-4.9408,122.5276,No hotel found
284,Nuevitas,CU,73.17,clear sky,21.5453,-77.2644,No hotel found
285,Faranah,GN,73.24,clear sky,10.0404,-10.7434,No hotel found
286,Quatre Cocos,MU,78.1,moderate rain,-20.2078,57.7625,No hotel found
287,Tautira,PF,80.83,scattered clouds,-17.7333,-149.15,No hotel found
288,Kokopo,PG,84.22,broken clouds,-4.352,152.2633,No hotel found
291,Durban,ZA,79.92,broken clouds,-29.8579,31.0292,No hotel found
295,Soyo,AO,79.0,light rain,-6.1349,12.3689,No hotel found
297,Hambantota,LK,73.92,broken clouds,6.1241,81.1185,No hotel found
300,Gamba,GA,77.36,light rain,-2.65,10.0,No hotel found
303,Kinablangan,PH,80.85,broken clouds,7.6947,126.5503,No hotel found
305,Saint-Paul,RE,79.36,light rain,-21.0096,55.2707,No hotel found
307,Mackay,AU,83.68,scattered clouds,-21.15,149.2,No hotel found
310,Bengkulu,ID,74.79,overcast clouds,-3.8004,102.2655,No hotel found
311,Pimentel,PE,73.69,scattered clouds,-6.8367,-79.9342,No hotel found
312,Ahipara,NZ,72.25,clear sky,-35.1667,173.1667,No hotel found
313,Alice Springs,AU,81.95,clear sky,-23.7,133.8833,No hotel found
314,Alta Floresta,BR,70.3,overcast clouds,-9.8756,-56.0861,No hotel found
315,Cockburn Town,TC,76.14,scattered clouds,21.4612,-71.1419,No hotel found
316,Hervey Bay,AU,81.01,clear sky,-25.2986,152.8535,No hotel found
317,Neiafu,TO,84.88,scattered clouds,-18.65,-173.9833,No hotel found
318,Santa Isabel,BR,72.7,broken clouds,-23.3156,-46.2214,No hotel found
319,Bartica,GY,75.52,few clouds,6.4,-58.6167,No hotel found
321,Sao Joao Da Barra,BR,78.89,clear sky,-21.6403,-41.0511,No hotel found
323,Canutama,BR,71.4,overcast clouds,-6.5339,-64.3831,No hotel found
325,Lafia,NG,78.55,broken clouds,8.4833,8.5167,No hotel found
326,Morondava,MG,79.34,broken clouds,-20.2833,44.2833,No hotel found
330,Lehututu,BW,73.92,scattered clouds,-23.9667,21.8667,No hotel found
331,Camapua,BR,76.3,broken clouds,-19.5314,-54.0439,No hotel found
333,Maraa,BR,72.37,overcast clouds,-1.8333,-65.3667,No hotel found
336,Gigmoto,PH,75.94,overcast clouds,13.7796,124.39,No hotel found
337,Buchanan,LR,78.69,overcast clouds,5.8808,-10.0467,No hotel found
338,Barra Patuca,HN,77.41,light rain,15.8,-84.2833,No hotel found
344,Biak,ID,78.71,overcast clouds,-0.9131,122.8766,No hotel found
348,Pandan,PH,75.61,overcast clouds,14.0453,124.1694,No hotel found
350,Cabedelo,BR,75.87,broken clouds,-6.9811,-34.8339,No hotel found
351,Quilmana,PE,71.6,overcast clouds,-12.95,-76.3833,No hotel found
357,Santa Rosa,PH,79.11,broken clouds,14.3122,121.1114,No hotel found
359,Rawson,AR,74.82,scattered clouds,-43.3002,-65.1023,No hotel found
360,Mindelo,CV,71.15,scattered clouds,16.8901,-24.9804,No hotel found
364,Warri,NG,78.3,few clouds,5.5167,5.75,No hotel found
368,Miri,MY,75.34,scattered clouds,4.4148,114.0089,No hotel found
372,Mount Isa,AU,87.57,clear sky,-20.7333,139.5,No hotel found
373,Vanimo,PG,77.92,overcast clouds,-2.6741,141.3028,No hotel found
376,Okato,NZ,70.68,clear sky,-39.2,173.8833,No hotel found
378,Vila Velha,BR,78.94,broken clouds,-20.3297,-40.2925,No hotel found
379,Marawi,PH,71.65,overcast clouds,7.9986,124.2928,No hotel found
382,Mafeteng,LS,73.36,broken clouds,-29.823,27.2374,No hotel found
388,Namatanai,PG,83.64,light rain,-3.6667,152.4333,No hotel found
391,Ahuimanu,US,82.78,few clouds,21.4447,-157.8378,No hotel found
393,Mattru,SL,70.39,broken clouds,7.6244,-11.8332,No hotel found
395,Mandera,KE,79.52,broken clouds,3.9366,41.867,No hotel found
397,Ugoofaaru,MV,81.39,broken clouds,5.6667,73.0,No hotel found
399,Parambu,BR,73.45,broken clouds,-6.2111,-40.6944,No hotel found
400,Cajati,BR,72.45,overcast clouds,-24.7361,-48.1228,No hotel found
401,Dingle,PH,77.02,overcast clouds,10.9995,122.6711,No hotel found
402,Yeppoon,AU,80.38,broken clouds,-23.1333,150.7333,No hotel found
